"","id","school","sex","age","address"
"1",1,"GP","F",15,"R"
"2",2,"GP","F",15,"R"
"3",3,"GP","F",15,"R"
"4",4,"GP","F",15,"R"
"5",5,"GP","F",15,"R"
"6",6,"GP","F",15,"R"
"7",7,"GP","F",15,"R"
"8",8,"GP","F",15,"R"
"9",9,"GP","F",15,"R"
"10",10,"GP","F",15,"U"
"11",11,"GP","F",15,"U"
"12",12,"GP","F",15,"U"
"13",13,"GP","F",15,"U"
"14",14,"GP","F",15,"U"
"15",15,"GP","F",15,"U"
"16",16,"GP","F",15,"U"
"17",17,"GP","F",15,"U"
"18",18,"GP","F",15,"U"
"19",19,"GP","F",15,"U"
"20",20,"GP","F",15,"U"
"21",21,"GP","F",15,"U"
"22",22,"GP","F",15,"U"
"23",23,"GP","F",15,"U"
"24",24,"GP","F",15,"U"
"25",25,"GP","F",15,"U"
"26",26,"GP","F",15,"U"
"27",27,"GP","F",15,"U"
"28",28,"GP","F",15,"U"
"29",29,"GP","F",15,"U"
"30",30,"GP","F",15,"U"
"31",31,"GP","F",15,"U"
"32",32,"GP","F",15,"U"
"33",33,"GP","F",15,"U"
"34",34,"GP","F",15,"U"
"35",35,"GP","F",15,"U"
"36",36,"GP","F",15,"U"
"37",37,"GP","F",15,"U"
"38",38,"GP","F",15,"U"
"39",39,"GP","F",16,"R"
"40",40,"GP","F",16,"R"
"41",41,"GP","F",16,"R"
"42",42,"GP","F",16,"U"
"43",43,"GP","F",16,"U"
"44",44,"GP","F",16,"U"
"45",45,"GP","F",16,"U"
"46",46,"GP","F",16,"U"
"47",47,"GP","F",16,"U"
"48",48,"GP","F",16,"U"
"49",49,"GP","F",16,"U"
"50",50,"GP","F",16,"U"
"51",51,"GP","F",16,"U"
"52",52,"GP","F",16,"U"
"53",53,"GP","F",16,"U"
"54",54,"GP","F",16,"U"
"55",55,"GP","F",16,"U"
"56",56,"GP","F",16,"U"
"57",57,"GP","F",16,"U"
"58",58,"GP","F",16,"U"
"59",59,"GP","F",16,"U"
"60",60,"GP","F",16,"U"
"61",61,"GP","F",16,"U"
"62",62,"GP","F",16,"U"
"63",63,"GP","F",16,"U"
"64",64,"GP","F",16,"U"
"65",65,"GP","F",16,"U"
"66",66,"GP","F",16,"U"
"67",67,"GP","F",16,"U"
"68",68,"GP","F",16,"U"
"69",69,"GP","F",16,"U"
"70",70,"GP","F",16,"U"
"71",71,"GP","F",16,"U"
"72",72,"GP","F",16,"U"
"73",73,"GP","F",16,"U"
"74",74,"GP","F",16,"U"
"75",75,"GP","F",16,"U"
"76",76,"GP","F",16,"U"
"77",77,"GP","F",16,"U"
"78",78,"GP","F",16,"U"
"79",79,"GP","F",16,"U"
"80",80,"GP","F",16,"U"
"81",81,"GP","F",16,"U"
"82",82,"GP","F",16,"U"
"83",83,"GP","F",16,"U"
"84",84,"GP","F",16,"U"
"85",85,"GP","F",16,"U"
"86",86,"GP","F",16,"U"
"87",87,"GP","F",16,"U"
"88",88,"GP","F",16,"U"
"89",89,"GP","F",16,"U"
"90",90,"GP","F",16,"U"
"91",91,"GP","F",16,"U"
"92",92,"GP","F",16,"U"
"93",93,"GP","F",17,"R"
"94",94,"GP","F",17,"R"
"95",95,"GP","F",17,"R"
"96",96,"GP","F",17,"R"
"97",97,"GP","F",17,"R"
"98",98,"GP","F",17,"R"
"99",99,"GP","F",17,"R"
"100",100,"GP","F",17,"R"
"101",101,"GP","F",17,"R"
"102",102,"GP","F",17,"R"
"103",103,"GP","F",17,"U"
"104",104,"GP","F",17,"U"
"105",105,"GP","F",17,"U"
"106",106,"GP","F",17,"U"
"107",107,"GP","F",17,"U"
"108",108,"GP","F",17,"U"
"109",109,"GP","F",17,"U"
"110",110,"GP","F",17,"U"
"111",111,"GP","F",17,"U"
"112",112,"GP","F",17,"U"
"113",113,"GP","F",17,"U"
"114",114,"GP","F",17,"U"
"115",115,"GP","F",17,"U"
"116",116,"GP","F",17,"U"
"117",117,"GP","F",17,"U"
"118",118,"GP","F",17,"U"
"119",119,"GP","F",17,"U"
"120",120,"GP","F",17,"U"
"121",121,"GP","F",17,"U"
"122",122,"GP","F",17,"U"
"123",123,"GP","F",17,"U"
"124",124,"GP","F",17,"U"
"125",125,"GP","F",17,"U"
"126",126,"GP","F",17,"U"
"127",127,"GP","F",17,"U"
"128",128,"GP","F",17,"U"
"129",129,"GP","F",17,"U"
"130",130,"GP","F",17,"U"
"131",131,"GP","F",17,"U"
"132",132,"GP","F",17,"U"
"133",133,"GP","F",17,"U"
"134",134,"GP","F",17,"U"
"135",135,"GP","F",17,"U"
"136",136,"GP","F",17,"U"
"137",137,"GP","F",17,"U"
"138",138,"GP","F",17,"U"
"139",139,"GP","F",17,"U"
"140",140,"GP","F",17,"U"
"141",141,"GP","F",17,"U"
"142",142,"GP","F",17,"U"
"143",143,"GP","F",17,"U"
"144",144,"GP","F",18,"R"
"145",145,"GP","F",18,"R"
"146",146,"GP","F",18,"R"
"147",147,"GP","F",18,"R"
"148",148,"GP","F",18,"R"
"149",149,"GP","F",18,"R"
"150",150,"GP","F",18,"R"
"151",151,"GP","F",18,"U"
"152",152,"GP","F",18,"U"
"153",153,"GP","F",18,"U"
"154",154,"GP","F",18,"U"
"155",155,"GP","F",18,"U"
"156",156,"GP","F",18,"U"
"157",157,"GP","F",18,"U"
"158",158,"GP","F",18,"U"
"159",159,"GP","F",18,"U"
"160",160,"GP","F",18,"U"
"161",161,"GP","F",18,"U"
"162",162,"GP","F",18,"U"
"163",163,"GP","F",18,"U"
"164",164,"GP","F",18,"U"
"165",165,"GP","F",18,"U"
"166",166,"GP","F",18,"U"
"167",167,"GP","F",18,"U"
"168",168,"GP","F",18,"U"
"169",169,"GP","F",18,"U"
"170",170,"GP","F",18,"U"
"171",171,"GP","F",18,"U"
"172",172,"GP","F",19,"U"
"173",173,"GP","F",19,"U"
"174",174,"GP","F",19,"U"
"175",175,"GP","F",19,"U"
"176",176,"GP","M",15,"R"
"177",177,"GP","M",15,"R"
"178",178,"GP","M",15,"R"
"179",179,"GP","M",15,"R"
"180",180,"GP","M",15,"R"
"181",181,"GP","M",15,"U"
"182",182,"GP","M",15,"U"
"183",183,"GP","M",15,"U"
"184",184,"GP","M",15,"U"
"185",185,"GP","M",15,"U"
"186",186,"GP","M",15,"U"
"187",187,"GP","M",15,"U"
"188",188,"GP","M",15,"U"
"189",189,"GP","M",15,"U"
"190",190,"GP","M",15,"U"
"191",191,"GP","M",15,"U"
"192",192,"GP","M",15,"U"
"193",193,"GP","M",15,"U"
"194",194,"GP","M",15,"U"
"195",195,"GP","M",15,"U"
"196",196,"GP","M",15,"U"
"197",197,"GP","M",15,"U"
"198",198,"GP","M",15,"U"
"199",199,"GP","M",15,"U"
"200",200,"GP","M",15,"U"
"201",201,"GP","M",15,"U"
"202",202,"GP","M",15,"U"
"203",203,"GP","M",15,"U"
"204",204,"GP","M",15,"U"
"205",205,"GP","M",15,"U"
"206",206,"GP","M",15,"U"
"207",207,"GP","M",15,"U"
"208",208,"GP","M",15,"U"
"209",209,"GP","M",15,"U"
"210",210,"GP","M",15,"U"
"211",211,"GP","M",15,"U"
"212",212,"GP","M",15,"U"
"213",213,"GP","M",15,"U"
"214",214,"GP","M",15,"U"
"215",215,"GP","M",15,"U"
"216",216,"GP","M",15,"U"
"217",217,"GP","M",15,"U"
"218",218,"GP","M",15,"U"
"219",219,"GP","M",16,"R"
"220",220,"GP","M",16,"R"
"221",221,"GP","M",16,"R"
"222",222,"GP","M",16,"R"
"223",223,"GP","M",16,"R"
"224",224,"GP","M",16,"R"
"225",225,"GP","M",16,"R"
"226",226,"GP","M",16,"R"
"227",227,"GP","M",16,"U"
"228",228,"GP","M",16,"U"
"229",229,"GP","M",16,"U"
"230",230,"GP","M",16,"U"
"231",231,"GP","M",16,"U"
"232",232,"GP","M",16,"U"
"233",233,"GP","M",16,"U"
"234",234,"GP","M",16,"U"
"235",235,"GP","M",16,"U"
"236",236,"GP","M",16,"U"
"237",237,"GP","M",16,"U"
"238",238,"GP","M",16,"U"
"239",239,"GP","M",16,"U"
"240",240,"GP","M",16,"U"
"241",241,"GP","M",16,"U"
"242",242,"GP","M",16,"U"
"243",243,"GP","M",16,"U"
"244",244,"GP","M",16,"U"
"245",245,"GP","M",16,"U"
"246",246,"GP","M",16,"U"
"247",247,"GP","M",16,"U"
"248",248,"GP","M",16,"U"
"249",249,"GP","M",16,"U"
"250",250,"GP","M",16,"U"
"251",251,"GP","M",16,"U"
"252",252,"GP","M",16,"U"
"253",253,"GP","M",16,"U"
"254",254,"GP","M",16,"U"
"255",255,"GP","M",16,"U"
"256",256,"GP","M",16,"U"
"257",257,"GP","M",16,"U"
"258",258,"GP","M",16,"U"
"259",259,"GP","M",16,"U"
"260",260,"GP","M",16,"U"
"261",261,"GP","M",16,"U"
"262",262,"GP","M",16,"U"
"263",263,"GP","M",16,"U"
"264",264,"GP","M",16,"U"
"265",265,"GP","M",16,"U"
"266",266,"GP","M",16,"U"
"267",267,"GP","M",16,"U"
"268",268,"GP","M",17,"R"
"269",269,"GP","M",17,"R"
"270",270,"GP","M",17,"R"
"271",271,"GP","M",17,"R"
"272",272,"GP","M",17,"R"
"273",273,"GP","M",17,"R"
"274",274,"GP","M",17,"R"
"275",275,"GP","M",17,"R"
"276",276,"GP","M",17,"R"
"277",277,"GP","M",17,"R"
"278",278,"GP","M",17,"R"
"279",279,"GP","M",17,"U"
"280",280,"GP","M",17,"U"
"281",281,"GP","M",17,"U"
"282",282,"GP","M",17,"U"
"283",283,"GP","M",17,"U"
"284",284,"GP","M",17,"U"
"285",285,"GP","M",17,"U"
"286",286,"GP","M",17,"U"
"287",287,"GP","M",17,"U"
"288",288,"GP","M",17,"U"
"289",289,"GP","M",17,"U"
"290",290,"GP","M",17,"U"
"291",291,"GP","M",17,"U"
